av_alive,av_w0,av_alph_w,av_lambda,av_thr1,av_thr2,av_t_thr,av_beta,sd_w0,sd_alph_w,sd_lambda,sd_thr1,sd_thr2,sd_t_thr,sd_beta
0.85125,9.04764046907425,0.943945777311921,0,0.831205303698778,0,1000,13.8100978624821,0.0722480261550554,0.0357530811035663,0,0.0582611213403596,0,0,0.144162459785657
0.84175,9.06369939470291,0.969708484172821,0,0.778523707941175,0,1000,13.933862850666,0.0764155798192542,0.0260272188053398,0,0.0489247943202855,0,0,0.0571796456632665
0.85225,9.10017309308052,0.966258344531059,0,0.790192978397012,0,1000,13.9430656490326,0.0619622649420631,0.0267840787664624,0,0.0653142975527001,0,0,0.0530649726109144
0.8505,9.10329273462296,0.963375055864453,0,0.834316840320826,0,1000,13.9220034265518,0.0667654550201621,0.02989533076886,0,0.0576773816327042,0,0,0.0576354880434939
0.84725,9.07273768019676,0.967449687629938,0,0.901260040968657,0,1000,13.8502264680862,0.0579496845239217,0.0292802142779487,0,0.0564020192865026,0,0,0.0609953048329818
0.849,9.16696940636635,0.975464533105493,0,0.921208136618137,0,1000,13.8149358346462,0.0781020497724074,0.0193174934011413,0,0.0281653975304419,0,0,0.0573254555999746
0.84825,9.14562206053734,0.95386069945991,0,0.900103562623262,0,1000,13.80874669981,0.0819516020091147,0.0348664085067124,0,0.0392149154565069,0,0,0.0603979989989449
0.8405,9.09268776655197,0.95628889477253,0,0.863773142963648,0,1000,13.8214672324657,0.0569077016712939,0.0329798285558422,0,0.0493210950631926,0,0,0.0819878997384673
0.82875,9.0844607834816,0.938169259026647,0,0.907365359544754,0,1000,13.845645304203,0.0497073560623305,0.0326223621423882,0,0.0451503204611541,0,0,0.0818756558558266
0.85075,9.15966200447082,0.950925012931228,0,0.911781629130244,0,1000,13.9074096016884,0.0821073570894621,0.0368434283123714,0,0.0342768360282859,0,0,0.0580953060612328
0.84375,9.10954715037346,0.913057812824845,0,0.9035333699435,0,1000,13.9405103304386,0.0706138861422743,0.0453090581314164,0,0.0344629883744319,0,0,0.054158167370281
0.84675,9.01726177549362,0.937457721814513,0,0.89814107182622,0,1000,13.9745392277241,0.040663742025876,0.0313742239779438,0,0.0360477223781675,0,0,0.0382743041296461
0.8455,8.98453808474541,0.969167545303702,0,0.851831497684121,0,1000,14.0399578456879,0.0545192638276004,0.0268621782834638,0,0.0421452081041742,0,0,0.0505424088958249
0.8435,8.98046995306015,0.955431199684739,0,0.873254880994558,0,1000,14.0419914937019,0.0424176821127844,0.0325082509751305,0,0.049788781320828,0,0,0.0502758658194214
0.84025,8.9457251791954,0.950801223620772,0,0.923902369886637,0,1000,14.0258502495289,0.0730757178699865,0.033800324302802,0,0.0321554904724861,0,0,0.0410582328354962
