av_alive,av_lambda,av_thr1,av_thr2,av_t_thr,sd_lambda,sd_thr1,sd_thr2,sd_t_thr
0.832,0,0.985995575547218,0,1000,0,0.0108283069552674,0,0
0.83425,0,0.986530616641045,0,1000,0,0.011805215884156,0,0
0.842,0,0.990129575878382,0,1000,0,0.00926286893479912,0,0
0.83075,0,0.988389937460422,0,1000,0,0.0128774622052669,0,0
0.845,0,0.987773393169045,0,1000,0,0.0132072253724781,0,0
0.84125,0,0.987939539298415,0,1000,0,0.0141999121281754,0,0
0.84325,0,0.990389110907912,0,1000,0,0.0116063445969121,0,0
0.83175,0,0.99173865455389,0,1000,0,0.00974210241254933,0,0
0.837,0,0.988232650071383,0,1000,0,0.0139732682037155,0,0
0.824,0,0.990948281258345,0,1000,0,0.0132632934323633,0,0
0.83575,0,0.990747811585665,0,1000,0,0.0114871816276365,0,0
0.83375,0,0.988523255422711,0,1000,0,0.0108601265182395,0,0
0.83725,0,0.990880378007889,0,1000,0,0.01114595434062,0,0
0.831,0,0.987053976178169,0,1000,0,0.0135926673422276,0,0
0.84675,0,0.989623036071658,0,1000,0,0.0114501758610998,0,0
0.842,0,0.988845934301615,0,1000,0,0.0113566295124173,0,0
0.84325,0,0.987751492217183,0,1000,0,0.0107701371765025,0,0
0.82025,0,0.992498934730887,0,1000,0,0.00841948002149625,0,0
0.83025,0,0.992682191818953,0,1000,0,0.00995360964202828,0,0
0.8465,0,0.990976002544165,0,1000,0,0.00960198373283229,0,0
0.833,0,0.991632553979754,0,1000,0,0.0103006549124872,0,0
0.834,0,0.987058936789632,0,1000,0,0.015358231347013,0,0
0.83575,0,0.985122204393148,0,1000,0,0.0138644089258769,0,0
0.848,0,0.987734264522791,0,1000,0,0.0114181487524742,0,0
0.82425,0,0.983171532154083,0,1000,0,0.020082623891566,0,0
0.82125,0,0.990505371585488,0,1000,0,0.0115518139072598,0,0
0.83975,0,0.986441719457507,0,1000,0,0.0107402602923049,0,0
0.8345,0,0.987192823424935,0,1000,0,0.0156767570371393,0,0
0.827,0,0.992153661370277,0,1000,0,0.0102592150580835,0,0
0.839,0,0.981960574939847,0,1000,0,0.0174363097587069,0,0
0.8325,0,0.991262477397919,0,1000,0,0.0106801729551534,0,0
0.84275,0,0.989905731469393,0,1000,0,0.0111706090858192,0,0
0.83825,0,0.99273218499124,0,1000,0,0.00837122065888614,0,0
0.836,0,0.991505675137043,0,1000,0,0.00986608113778669,0,0
0.82825,0,0.988145605862141,0,1000,0,0.0119983177543281,0,0
0.82925,0,0.99011811453104,0,1000,0,0.0112072009296878,0,0
0.8365,0,0.987167015850544,0,1000,0,0.0131730000785428,0,0
0.8365,0,0.991691909223795,0,1000,0,0.0105322912349403,0,0
0.831,0,0.986291054144502,0,1000,0,0.011402962981677,0,0
0.8295,0,0.989557163745165,0,1000,0,0.0123429775905333,0,0
0.84125,0,0.98518857806921,0,1000,0,0.0138786351986653,0,0
0.83975,0,0.98820749874413,0,1000,0,0.00904272999942115,0,0
0.838,0,0.985918806225061,0,1000,0,0.00914882087476522,0,0
0.84525,0,0.984062843069434,0,1000,0,0.016812412117999,0,0
0.8455,0,0.984625302106142,0,1000,0,0.01289433600987,0,0
0.8295,0,0.987173609912395,0,1000,0,0.0120940755331646,0,0
